KundeNr,Geschlecht,Alter,Einkommen,Niederlassung,Zeit,Preis
K0001,Männlich,68.0,89437.0,Sachsen,62.0,114481.9
K0002,Männlich,58.0,65271.0,Nordrhein-Westfalen,44.0,106258.99
K0003,Männlich,44.0,48195.0,Hessen,29.0,85705.57
K0004,Weiblich,37.0,48957.0,Bayern,36.0,76412.36
K0005,Weiblich,50.0,56621.0,Bayern,40.0,92898.67
K0006,Männlich,68.0,93315.0,Baden-Württemberg,69.0,141822.38
K0007,Männlich,48.0,44481.0,Nordrhein-Westfalen,30.0,63604.43
K0008,Männlich,52.0,60315.0,Berlin,40.0,106359.99
K0009,Weiblich,40.0,50085.0,Bayern,42.0,68956.52
K0010,Männlich,40.0,43750.0,Berlin,28.0,67687.0
K0011,Männlich,53.0,30821.0,Nordrhein-Westfalen,26.0,58450.55
K0012,Weiblich,65.0,73235.0,Baden-Württemberg,40.0,115599.05
K0013,Männlich,69.0,89082.0,Nordrhein-Westfalen,66.0,124730.66
K0014,Weiblich,53.0,70398.0,Sachsen,48.0,102062.3
K0015,Männlich,32.0,43022.0,Sachsen,36.0,50811.55
K0016,Männlich,51.0,47883.0,Berlin,45.0,90273.18
K0017,Männlich,31.0,42377.0,Bayern,31.0,69094.76
K0018,Weiblich,53.0,55741.0,Berlin,41.0,83296.61
K0019,Weiblich,59.0,72303.0,Bayern,44.0,101687.09
K0020,Weiblich,67.0,78468.0,Baden-Württemberg,47.0,123598.99
K0021,Männlich,31.0,27501.0,Hessen,22.0,39695.86
K0022,Weiblich,50.0,49026.0,Berlin,36.0,79076.93
K0023,Männlich,62.0,75575.0,Nordrhein-Westfalen,50.0,124516.56
K0024,Männlich,41.0,46542.0,Baden-Württemberg,40.0,63477.0
K0025,Weiblich,51.0,50677.0,Niedersachsen,34.0,83785.2
K0026,Männlich,54.0,53037.0,Nordrhein-Westfalen,44.0,88479.15
K0027,Männlich,56.0,61920.0,Nordrhein-Westfalen,49.0,94455.39
K0028,Männlich,57.0,83306.0,Sachsen,53.0,112854.14
K0029,Männlich,45.0,47574.0,Nordrhein-Westfalen,33.0,87328.47
K0030,Männlich,44.0,52043.0,Sachsen,42.0,72895.13
K0031,Männlich,32.0,40277.0,Bayern,34.0,42093.26
K0032,Männlich,66.0,63799.0,Brandenburg,48.0,109159.01
K0033,Weiblich,36.0,24397.0,Baden-Württemberg,38.0,32833.88
K0034,Weiblich,50.0,47571.0,Baden-Württemberg,39.0,83365.24
K0035,Männlich,38.0,48364.0,Bayern,35.0,85707.42
K0036,Männlich,68.0,79182.0,Baden-Württemberg,48.0,125939.52
K0037,Männlich,47.0,63067.0,Bayern,41.0,102867.75
K0038,Männlich,33.0,41309.0,Baden-Württemberg,25.0,82824.09
K0039,Männlich,51.0,61857.0,Baden-Württemberg,52.0,104214.07
K0040,Männlich,43.0,44559.0,Sachsen,22.0,74144.49
K0041,Männlich,38.0,55278.0,Baden-Württemberg,46.0,95883.59
K0042,Männlich,55.0,54161.0,Nordrhein-Westfalen,36.0,104859.86
K0043,Männlich,31.0,26047.0,Baden-Württemberg,24.0,63491.25
K0044,Männlich,49.0,63769.0,Sachsen,41.0,88665.28
K0045,Weiblich,57.0,51842.0,Sachsen,51.0,70527.14
K0046,Weiblich,36.0,69703.0,Niedersachsen,50.0,86119.52
K0047,Männlich,37.0,45467.0,Niedersachsen,43.0,75752.08
K0048,Weiblich,64.0,77668.0,Baden-Württemberg,63.0,116246.65
K0049,Männlich,43.0,42342.0,Thüringen,37.0,66374.97
K0050,Weiblich,46.0,50946.0,Nordrhein-Westfalen,32.0,83406.88
K0051,Weiblich,65.0,70352.0,Sachsen,49.0,92584.18
K0052,Männlich,69.0,73444.0,Niedersachsen,47.0,115561.62
K0053,Männlich,33.0,47124.0,Bayern,35.0,79603.78
K0054,Männlich,31.0,33214.0,Sachsen,31.0,58416.51
K0055,Männlich,35.0,53464.0,Bayern,41.0,82821.95
K0056,Männlich,33.0,69142.0,Hessen,52.0,107174.44
K0057,Männlich,58.0,64180.0,Baden-Württemberg,51.0,98148.01
K0058,Männlich,47.0,57101.0,Sachsen,43.0,79106.97
K0059,Weiblich,55.0,68245.0,Baden-Württemberg,52.0,112358.24
K0060,Weiblich,63.0,92456.0,Bayern,57.0,141292.39
K0061,Männlich,39.0,45873.0,Hessen,47.0,75731.69
K0062,Männlich,65.0,65989.0,Nordrhein-Westfalen,44.0,102710.38
K0063,Männlich,43.0,37376.0,Hessen,42.0,63383.29
K0064,Männlich,60.0,68926.0,Bayern,39.0,91715.99
K0065,Weiblich,44.0,47332.0,Baden-Württemberg,36.0,84281.71
K0066,Männlich,37.0,66398.0,Nordrhein-Westfalen,46.0,101131.52
K0067,Männlich,43.0,70304.0,Thüringen,52.0,83886.2
K0068,Männlich,52.0,49657.0,Nordrhein-Westfalen,46.0,89589.3
K0069,Männlich,69.0,71612.0,Berlin,42.0,116360.51
K0070,Weiblich,50.0,59505.0,Sachsen,37.0,78150.23
K0071,Weiblich,45.0,68432.0,Berlin,39.0,82849.76
K0072,Männlich,47.0,56068.0,Hamburg,52.0,88529.55
K0073,Männlich,53.0,54940.0,Berlin,45.0,82628.47
K0074,Männlich,55.0,63491.0,Berlin,39.0,115135.5
K0075,Weiblich,54.0,56229.0,Nordrhein-Westfalen,40.0,97038.57
K0076,Weiblich,70.0,86939.0,Hamburg,67.0,132147.29
K0077,Männlich,58.0,59695.0,Bayern,43.0,99547.37
K0078,Männlich,44.0,46659.0,Bayern,36.0,87048.58
K0079,Weiblich,30.0,49606.0,Baden-Württemberg,34.0,76579.11
K0080,Männlich,54.0,54712.0,Hessen,35.0,92084.38
K0081,Weiblich,36.0,27831.0,Bayern,37.0,38628.85
K0082,Männlich,38.0,46715.0,Baden-Württemberg,50.0,101650.7
K0083,Männlich,53.0,58050.0,Niedersachsen,37.0,78625.3
K0084,Männlich,30.0,42551.0,Niedersachsen,46.0,58706.65
K0085,Männlich,37.0,48042.0,Nordrhein-Westfalen,36.0,54313.59
K0086,Männlich,53.0,61613.0,Brandenburg,50.0,99068.03
K0087,Weiblich,40.0,47192.0,Sachsen,48.0,72220.0
K0088,Männlich,46.0,46384.0,Sachsen,37.0,82034.0
K0089,Männlich,37.0,45503.0,Nordrhein-Westfalen,35.0,50836.91
K0090,Männlich,64.0,83452.0,Niedersachsen,62.0,133180.7
K0091,Männlich,64.0,63338.0,Bayern,39.0,92846.99
K0092,Männlich,62.0,71666.0,Thüringen,59.0,107104.52
K0093,Männlich,34.0,52606.0,Bayern,42.0,83864.29
K0094,Weiblich,68.0,83716.0,Bayern,53.0,125611.48
K0095,Männlich,70.0,94606.0,Berlin,58.0,139830.32
K0096,Männlich,57.0,60138.0,Baden-Württemberg,35.0,102300.93
K0097,Männlich,36.0,23660.0,Thüringen,23.0,49960.18
K0098,Weiblich,38.0,47861.0,Hessen,37.0,66834.88
K0099,Weiblich,37.0,48532.0,Hessen,32.0,68786.85
K0100,Weiblich,41.0,63780.0,Niedersachsen,47.0,90449.48
K0101,Männlich,63.0,85695.0,Brandenburg,61.0,114451.46
K0102,Männlich,62.0,77546.0,Baden-Württemberg,52.0,124857.23
K0103,Männlich,52.0,69175.0,Hessen,54.0,103778.57
K0104,Männlich,53.0,59879.0,Niedersachsen,39.0,92542.02
K0105,Männlich,66.0,62843.0,Berlin,53.0,113812.63
K0106,Männlich,64.0,75171.0,Nordrhein-Westfalen,53.0,112055.97
K0107,Männlich,69.0,89976.0,Bayern,71.0,129284.1
K0108,Männlich,51.0,66908.0,Bayern,65.0,93021.39
K0109,Weiblich,56.0,74257.0,Baden-Württemberg,49.0,110427.22
K0110,Männlich,64.0,69256.0,Berlin,47.0,110341.3
K0111,Männlich,30.0,34125.0,Nordrhein-Westfalen,30.0,46414.4
K0112,Weiblich,64.0,79138.0,Nordrhein-Westfalen,59.0,114319.8
K0113,Männlich,66.0,70138.0,Berlin,59.0,102407.29
K0114,Weiblich,43.0,45517.0,Hessen,33.0,63320.19
K0115,Männlich,32.0,42406.0,Nordrhein-Westfalen,39.0,45125.2
K0116,Männlich,30.0,45256.0,Bayern,37.0,62326.68
K0117,Weiblich,34.0,39181.0,Baden-Württemberg,39.0,41898.43
K0118,Weiblich,55.0,51515.0,Thüringen,51.0,78247.78
K0119,Weiblich,43.0,43130.0,Hessen,35.0,61803.14
K0120,Männlich,68.0,80444.0,Thüringen,44.0,131551.59
K0121,Männlich,56.0,67292.0,Bayern,54.0,90615.29
K0122,Männlich,38.0,48301.0,Niedersachsen,33.0,64230.98
K0123,Männlich,44.0,57848.0,Bayern,43.0,81081.18
K0124,Weiblich,44.0,52258.0,Bayern,47.0,72060.58
K0125,Männlich,55.0,67004.0,Hamburg,51.0,114150.05
K0126,Weiblich,42.0,49536.0,Bayern,39.0,62506.44
K0127,Männlich,61.0,83098.0,Baden-Württemberg,53.0,116002.86
K0128,Männlich,68.0,93769.0,Bayern,42.0,137923.28
K0129,Männlich,61.0,57745.0,Baden-Württemberg,49.0,102766.17
K0130,Weiblich,33.0,37491.0,Niedersachsen,32.0,53138.58
K0131,Weiblich,59.0,68825.0,Brandenburg,60.0,83303.72
K0132,Weiblich,66.0,73170.0,Baden-Württemberg,54.0,109500.77
K0133,Weiblich,52.0,80319.0,Baden-Württemberg,51.0,124885.27
K0134,Weiblich,68.0,80664.0,Baden-Württemberg,63.0,122681.63
K0135,Weiblich,44.0,43460.0,Hessen,45.0,71339.81
K0136,Männlich,58.0,73853.0,Baden-Württemberg,50.0,97928.13
K0137,Männlich,65.0,77918.0,Nordrhein-Westfalen,62.0,104728.1
K0138,Männlich,42.0,53324.0,Baden-Württemberg,38.0,79456.84
K0139,Weiblich,61.0,90246.0,Bayern,61.0,111436.45
K0140,Weiblich,36.0,47319.0,Sachsen,43.0,76696.47
K0141,Männlich,51.0,56496.0,Niedersachsen,49.0,78599.02
K0142,Weiblich,57.0,45095.0,Baden-Württemberg,42.0,77157.15
K0143,Weiblich,31.0,36296.0,Nordrhein-Westfalen,31.0,35482.61
K0144,Männlich,35.0,56593.0,Brandenburg,51.0,74955.3
K0145,Männlich,57.0,65311.0,Nordrhein-Westfalen,47.0,87351.94
K0146,Weiblich,57.0,42006.0,Hessen,32.0,50508.57
K0147,Männlich,49.0,52215.0,Niedersachsen,37.0,87326.82
K0148,Weiblich,59.0,79235.0,Thüringen,68.0,130383.85
K0149,Männlich,40.0,53774.0,Bayern,37.0,90227.44
K0150,Weiblich,57.0,57191.0,Hessen,53.0,96831.38
K0151,Weiblich,54.0,56914.0,Berlin,36.0,83783.08
K0152,Weiblich,68.0,73781.0,Baden-Württemberg,55.0,120941.76
K0153,Männlich,62.0,64538.0,Baden-Württemberg,49.0,113786.43
K0154,Weiblich,30.0,14993.0,Baden-Württemberg,34.0,33678.17
K0155,Weiblich,56.0,73496.0,Niedersachsen,47.0,94040.73
K0156,Männlich,42.0,63657.0,Hessen,40.0,84814.32
K0157,Weiblich,70.0,63937.0,Hessen,46.0,121009.5
K0158,Männlich,32.0,52664.0,Baden-Württemberg,53.0,72598.33
K0159,Männlich,68.0,77118.0,Berlin,47.0,83418.33
K0160,Männlich,35.0,55716.0,Sachsen,25.0,63069.62
K0161,Männlich,37.0,45011.0,Berlin,38.0,63758.96
K0162,Männlich,56.0,66685.0,Hessen,55.0,110938.59
K0163,Weiblich,38.0,49724.0,Nordrhein-Westfalen,33.0,69448.24
K0164,Männlich,66.0,67497.0,Nordrhein-Westfalen,55.0,117195.91
K0165,Weiblich,62.0,84681.0,Hamburg,50.0,115423.31
K0166,Weiblich,53.0,49798.0,Nordrhein-Westfalen,39.0,61329.51
K0167,Männlich,44.0,47834.0,Berlin,44.0,69642.73
K0168,Männlich,61.0,76325.0,Sachsen,45.0,116425.9
K0169,Weiblich,61.0,65117.0,Bayern,49.0,102799.87
K0170,Männlich,53.0,70392.0,Bayern,59.0,89785.65
K0171,Männlich,70.0,95326.0,Baden-Württemberg,66.0,133593.66
K0172,Weiblich,41.0,59921.0,Nordrhein-Westfalen,40.0,111734.31
K0173,Männlich,68.0,57238.0,Berlin,54.0,84306.46
K0174,Männlich,31.0,39454.0,Bayern,39.0,65981.74
K0175,Männlich,32.0,50330.0,Bayern,27.0,49540.28
K0176,Weiblich,66.0,61785.0,Sachsen,52.0,108131.17
K0177,Männlich,46.0,62212.0,Nordrhein-Westfalen,42.0,81404.44
K0178,Weiblich,31.0,45328.0,Hessen,39.0,68156.01
K0179,Männlich,31.0,24944.0,Hessen,35.0,31094.22
K0180,Weiblich,57.0,75347.0,Berlin,49.0,111539.65
K0181,Weiblich,52.0,63832.0,Berlin,35.0,84810.82
K0182,Weiblich,66.0,83118.0,Sachsen,67.0,113976.31
K0183,Männlich,61.0,60160.0,Baden-Württemberg,53.0,100767.22
K0184,Weiblich,62.0,73353.0,Berlin,51.0,104733.83
K0185,Männlich,30.0,18515.0,Bayern,30.0,41027.79
K0186,Männlich,48.0,31841.0,Brandenburg,28.0,58334.15
K0187,Männlich,31.0,39617.0,Berlin,35.0,60089.79
K0188,Weiblich,55.0,76066.0,Hamburg,52.0,112809.53
K0189,Weiblich,61.0,73383.0,Baden-Württemberg,49.0,105062.59
K0190,Weiblich,35.0,41741.0,Hamburg,38.0,52271.78
K0191,Männlich,61.0,68606.0,Bayern,41.0,99514.15
K0192,Männlich,33.0,30037.0,Baden-Württemberg,28.0,62787.47
K0193,Weiblich,40.0,45448.0,Baden-Württemberg,40.0,70066.79
K0194,Männlich,46.0,58938.0,Nordrhein-Westfalen,57.0,78516.69
K0195,Männlich,67.0,72430.0,Berlin,43.0,116130.92
K0196,Männlich,53.0,70100.0,Hessen,54.0,107089.66
K0197,Männlich,34.0,43470.0,Nordrhein-Westfalen,41.0,70250.0
K0198,Männlich,63.0,76247.0,Niedersachsen,40.0,103879.52
K0199,Männlich,35.0,52067.0,Berlin,44.0,67345.58
K0200,Männlich,51.0,54077.0,Berlin,48.0,77842.13
K0201,Männlich,40.0,55005.0,Berlin,47.0,76273.78
K0202,Weiblich,45.0,49088.0,Niedersachsen,39.0,80749.79
K0203,Männlich,62.0,75407.0,Brandenburg,55.0,115505.36
K0204,Männlich,38.0,38681.0,Nordrhein-Westfalen,36.0,65930.74
K0205,Weiblich,35.0,32553.0,Nordrhein-Westfalen,44.58485401459854,66814.09
K0206,Männlich,45.0,54276.0,Baden-Württemberg,43.0,88859.4
K0207,Weiblich,58.0,46940.0,Baden-Württemberg,36.0,78383.96
K0208,Weiblich,32.0,35961.0,Niedersachsen,28.0,42830.37
K0209,Männlich,49.0,40198.0,Bayern,52.0,62115.3
K0210,Männlich,65.0,83431.0,Baden-Württemberg,65.0,119640.51
K0211,Weiblich,48.0,67923.0,Sachsen,41.0,104683.62
K0212,Weiblich,55.0,54760.0,Bayern,45.0,86038.6
K0213,Männlich,32.0,43819.0,Sachsen,47.0,57548.45
K0214,Männlich,48.0,66286.0,Niedersachsen,38.0,88275.44
K0215,Männlich,49.0,67407.0,Nordrhein-Westfalen,49.0,96728.92
K0216,Weiblich,61.0,72965.0,Bayern,52.0,117298.71
K0217,Männlich,36.0,51478.0,Bayern,32.0,90484.89
K0218,Weiblich,70.0,73363.0,Hamburg,54.0,111223.31
K0219,Männlich,62.0,72626.0,Baden-Württemberg,59.0,109158.35
K0220,Männlich,69.0,74254.0,Bayern,63.0,102553.46
K0221,Männlich,68.0,70277.0,Bayern,48.0,130143.33
K0222,Männlich,47.0,55841.0,Baden-Württemberg,60.0,70169.26
K0223,Männlich,69.0,83089.0,Bayern,42.0,136022.46
K0224,Männlich,30.0,49623.0,Nordrhein-Westfalen,42.0,65451.53
K0225,Männlich,40.0,50730.0,Baden-Württemberg,30.0,69432.02
K0226,Weiblich,57.0,73261.0,Baden-Württemberg,52.0,95081.32
K0227,Männlich,54.0,70130.0,Hessen,46.0,127478.45
K0228,Männlich,52.0,90021.0,Thüringen,64.0,124563.89
K0229,Weiblich,60.0,49925.0,Bayern,39.0,84170.57
K0230,Weiblich,59.0,61009.0,Baden-Württemberg,40.0,103904.6
K0231,Weiblich,64.0,89881.0,Hessen,55.0,120551.98
K0232,Weiblich,36.0,39697.0,Sachsen,48.0,60883.05
K0233,Männlich,45.0,62886.0,Nordrhein-Westfalen,50.0,91266.15
K0234,Männlich,55.0,66624.0,Hessen,36.0,94540.15
K0235,Weiblich,31.0,60920.0,Bayern,49.0,92362.74
K0236,Weiblich,30.0,24933.0,Hamburg,26.0,40285.18
K0237,Männlich,41.0,62190.0,Baden-Württemberg,46.0,72016.19
K0238,Weiblich,34.0,60319.0,Niedersachsen,51.0,77978.88
K0239,Männlich,66.0,65063.0,Nordrhein-Westfalen,56.0,106463.24
K0240,Männlich,61.0,79130.0,Thüringen,49.0,106664.4
K0241,Männlich,38.0,35214.0,Bayern,32.0,50205.8
K0242,Männlich,70.0,80732.0,Baden-Württemberg,52.0,116569.27
K0243,Männlich,64.0,71112.0,Hamburg,55.0,121577.09
K0244,Männlich,48.0,30477.0,Niedersachsen,29.0,53902.36
K0245,Weiblich,45.0,57880.0,Nordrhein-Westfalen,44.0,98898.93
K0246,Männlich,32.0,40729.0,Baden-Württemberg,33.0,54787.08
K0247,Männlich,49.0,73660.0,Bayern,51.0,107200.27
K0248,Weiblich,53.0,68587.0,Hamburg,61.0,94955.06
K0249,Weiblich,62.0,96569.0,Bayern,80.0,140745.65
K0250,Weiblich,53.0,63121.0,Nordrhein-Westfalen,49.0,82460.27
K0251,Weiblich,40.0,46710.0,Berlin,38.0,77768.25
K0252,Weiblich,37.0,42600.0,Nordrhein-Westfalen,25.0,65540.55
K0253,Männlich,65.0,70212.0,Hessen,45.0,102160.74
K0254,Männlich,67.0,53207.0,Nordrhein-Westfalen,41.0,90531.33
K0255,Männlich,69.0,76932.0,Bayern,48.0,133380.54
K0256,Männlich,49.0,35194.0,Nordrhein-Westfalen,28.0,65668.36
K0257,Männlich,64.0,78797.0,Bayern,65.0,109839.35
K0258,Weiblich,54.0,49596.0,Hamburg,40.0,68169.84
K0259,Männlich,64.0,64196.0,Bayern,48.0,107141.39
K0260,Männlich,54.0,55785.0,Berlin,38.0,90085.01
K0261,Männlich,58.0,65162.0,Bayern,56.0,106934.76
K0262,Weiblich,47.0,55524.0,Bayern,41.0,67983.37
K0263,Männlich,47.0,67211.0,Thüringen,45.0,84216.96
K0264,Weiblich,31.0,31826.0,Baden-Württemberg,20.0,61856.99
K0265,Männlich,64.0,79102.0,Nordrhein-Westfalen,54.0,120716.52
K0266,Männlich,45.0,82896.0,Thüringen,53.0,116749.66
K0267,Männlich,70.0,84497.0,Baden-Württemberg,69.0,116193.41
K0268,Weiblich,65.0,73022.0,Niedersachsen,64.0,100337.77
K0269,Männlich,62.0,63275.0,Bayern,38.0,110109.58
K0270,Weiblich,33.0,38152.0,Baden-Württemberg,26.0,68310.6
K0271,Männlich,62.0,62114.0,Berlin,44.0,87670.86
K0272,Männlich,43.0,54023.0,Sachsen,36.0,67446.84
K0273,Weiblich,50.0,59828.0,Baden-Württemberg,46.0,87813.11
K0274,Weiblich,49.0,34170.0,Hessen,30.0,53806.21
K0275,Weiblich,37.0,44398.0,Brandenburg,39.0,57851.21
K0276,Weiblich,36.0,55185.0,Nordrhein-Westfalen,50.0,64034.01
K0277,Weiblich,32.0,34846.0,Baden-Württemberg,25.0,48990.25
K0278,Weiblich,46.0,47284.0,Niedersachsen,46.0,62114.5
K0279,Weiblich,62.0,56784.0,Niedersachsen,38.0,80874.62
K0280,Weiblich,41.0,28790.0,Niedersachsen,44.0,55293.51
K0281,Weiblich,51.0,68806.0,Sachsen,61.0,98128.97
K0282,Männlich,51.0,57821.0,Nordrhein-Westfalen,43.0,93565.3
K0283,Weiblich,59.0,76842.0,Baden-Württemberg,47.0,94309.74
K0284,Männlich,67.0,93757.0,Berlin,54.0,134096.72
K0285,Weiblich,67.0,87141.0,Berlin,65.0,147149.94
K0286,Weiblich,37.0,38717.0,Bayern,34.0,56575.12
K0287,Männlich,56.0,66786.0,Berlin,55.0,108886.48
K0288,Weiblich,56.0,58547.0,Berlin,60.0,99077.0
K0289,Männlich,63.0,65128.0,Berlin,42.0,111253.56
K0290,Männlich,50.0,62422.0,Thüringen,38.0,94530.65
K0291,Weiblich,59.0,59443.0,Baden-Württemberg,46.0,99016.21
K0292,Männlich,62.0,47766.0,Sachsen,47.0,91150.03
K0293,Weiblich,57.0,56668.0,Brandenburg,37.0,95820.3
K0294,Weiblich,62.0,68397.0,Hessen,49.0,92611.11
K0295,Männlich,34.0,57844.0,Nordrhein-Westfalen,54.0,62302.49
K0296,Männlich,48.0,51210.0,Bayern,29.0,64363.81
K0297,Männlich,33.0,45811.0,Berlin,40.0,64066.66
